id,activo_codigo,ot_id,reportado_por,tipo_falla,severidad,descripcion,estado,fecha_reporte
00508188-4121-46b2-86ff-2f6e6fad9b1f,B-COMO-INYE-004,fb2dabf2-66fa-45c5-8fa4-a2b9781b25ac,251def17-826a-4692-9914-ecb15fa594e6,MECANICA,MODERADA,Detector de presión interrumpe ciclo de inyección antes de completar el volumen programado. Afecta estudios de RMN.,ABIERTA,2025-07-10 14:00:00
0dec4084-2844-41f8-9f44-bc599608acf1,B-LABO-MPIP-004,dbeac283-4cda-4934-af4d-cf2a0cd3243f,251def17-826a-4692-9914-ecb15fa594e6,OTRO,LEVE,Calibración fuera de rango: error superior al 5% en volumen nominal. Resultados de laboratorio comprometidos.,RESUELTA,2025-03-01 09:00:00
12455854-c4ee-4f50-883a-bddea654adaf,B-INTR-SATD-001,b028dfee-f31b-46c2-8a96-7d4e11ac957b,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,MODERADA,Lectura de SpO2 varía ±8% respecto a equipo calibrado de referencia. Lecturas inconsistentes en pacientes.,ABIERTA,2025-07-18 16:00:00
13eaf33f-00df-4982-9485-a2cfb7f42394,B-LABO-CASB-003,39395540-6f98-4c4e-9be8-a1cf7fe1fe52,251def17-826a-4692-9914-ecb15fa594e6,MECANICA,GRAVE,Alarma de flujo de aire activa de forma continua. Cabina comprometida para trabajo estéril.,RESUELTA,2025-05-10 08:00:00
1f218c06-94c5-4035-886e-c11b11c22f96,B-TERA-DESF-067,d95d66a7-6c81-4c9d-aa09-471c33a4922b,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,CRITICA,Equipo no carga energía programada a 360J. Se detiene en 200J con alarma de error de carga. No puede usarse en UCO.,RESUELTA,2025-04-20 08:00:00
4acdeda8-2998-4a3e-90a7-61ba8dec35e2,B-TERA-BOMJ-120,6048078a-fb6d-485b-8c39-54f39460d7d1,251def17-826a-4692-9914-ecb15fa594e6,MECANICA,MODERADA,Alarma de oclusión se activa reiteradas veces sin causa real. Interrumpe la infusión de medicación en neonatología.,RESUELTA,2025-03-15 11:00:00
5425aff9-e89e-48a2-a8cb-1ee40e8ee4d8,B-DIAG-ECOG-020,76fe9468-a51b-4224-ba29-e738b0df9ec0,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,GRAVE,Transductor convex no genera imagen en modo B. Pantalla muestra artefactos. No puede usarse en obstetricia.,RESUELTA,2025-04-05 09:00:00
54786041-301e-4465-bb1a-eff322816582,B-TERA-MOMU-002,449137aa-f7da-4460-b880-df707a32a356,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,GRAVE,Módulo SpO2 muestra sensor desconectado aunque está correctamente colocado en el paciente.,RESUELTA,2025-02-20 16:00:00
54dfdd36-7103-42ff-a611-e20b50f03692,B-LABO-CENT-014,90de5210-e369-40a7-91cd-c48a343f9de0,251def17-826a-4692-9914-ecb15fa594e6,MECANICA,MODERADA,Vibración excesiva y ruido anormal al superar 3000 RPM. No puede usarse a alta velocidad.,ABIERTA,2025-07-25 10:00:00
995b36ae-7f9e-42ac-b2da-317f8b4153a6,B-INTR-DESF-069,49c19b5d-a517-4276-9b2e-9a0ad6a175de,251def17-826a-4692-9914-ecb15fa594e6,MECANICA,GRAVE,Paleta externa izquierda no responde al botón de descarga. Solo funciona paleta derecha. Equipo comprometido.,ABIERTA,2025-07-30 11:00:00
9ff2c79d-52bd-4e46-87e2-dae6dc429d5f,B-ANES-MAAN-034,c4c97ec4-96ef-4b25-be09-d1bc57e82005,251def17-826a-4692-9914-ecb15fa594e6,MECANICA,CRITICA,Alarma de fuga de gas persistente durante el procedimiento. Equipo retirado de quirófano de emergencia.,RESUELTA,2025-03-05 07:30:00
bacfbf07-0163-4cef-888a-757801214d79,B-CIRU-ELEC-007,4a9f6756-bc80-4593-b2e0-1169127cb7c0,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,MODERADA,Modo coagulación no responde al pedal. Solo funciona en modo corte. No puede usarse en cirugía.,RESUELTA,2025-04-10 09:00:00
d3966c07-1816-434d-912d-34bd4c843e33,B-TERA-INCU-006,57c73c86-9f3e-41dc-92cf-a0cf97612655,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,CRITICA,Incubadora no alcanza 36.5°C programados. Se estabiliza en 34°C. Paciente neonatal en riesgo.,ABIERTA,2025-07-20 06:00:00
e4916d0c-69de-432b-8f72-a669474d49cb,B-CIRU-ELEC-013,29934cf2-14d9-419d-83a0-a4ac75def766,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,GRAVE,Corriente de fuga medida supera 100µA. Fuera de norma IEC 60601. Equipo fuera de servicio hasta corrección.,ABIERTA,2025-07-01 10:00:00
ffcb42ab-2303-4171-b9c9-e8282767bb53,B-CONS-CAMA-019,a17748b4-7379-42d6-a3a5-7a9f6b493a4f,251def17-826a-4692-9914-ecb15fa594e6,ELECTRICA,GRAVE,Pérdida de imagen en monitor de video durante el procedimiento. No puede visualizarse la cavidad abdominal.,ABIERTA,2025-07-15 08:00:00
